id,created_at,favorite_count,retweet_count,text
1469849247042334721,2021-12-12 01:59:03,2133,149,(2/2) All of Edwardsville should know that the Amazon team is committed to supporting them and will be by their side through this crisis. We extend our fullest gratitude to all the incredible first responders who have worked so tirelessly at the site.
1469849245624647681,2021-12-12 01:59:03,4346,319,"The news from Edwardsville is tragic. We’re heartbroken over the loss of our teammates there, and our thoughts and prayers are with their families and loved ones. (1/2)"
1469320158996951043,2021-12-10 14:56:39,3409,226,Loved being with @MichaelStrahan on Thursday Night Football. Gave him a little something to pack for his flight. https://t.co/fdr3Hz9ojh
1469107355530919938,2021-12-10 00:51:02,2187,122,"Congrats again, DJ. No one more deserving than you for the People’s Champ Award. https://t.co/RCeRAHkkHX"
1467937061319495681,2021-12-06 19:20:43,2649,236,"Today the Washington Post and the world lost an exceptional journalist and remarkable man: long-time Editorial Page Editor Fred Hiatt. I will miss his thoughtfulness, professionalism, and warm friendship. Our thoughts are with his beloved family at this difficult time. https://t.co/NoATYyyy7A"
1463575768697491458,2021-11-24 18:30:29,3671,332,"Welcome aboard, Michael! https://t.co/UfLHValZoT"
1460968710965841921,2021-11-17 13:50:58,1308,130,"(2/2) This year’s grants go to 32 groups led by experts who are making a difference in their communities, and the funds will help them further expand their important work. https://t.co/sLgl3mWBB3"
1460968707971112963,2021-11-17 13:50:58,8232,381,"For the fourth year in a row, the Bezos Day 1 Families Fund is making donations to organizations helping families in need across the U.S. These grants will provide support including housing, food, clothing, and other resources to help families get back on their feet. (1/2) https://t.co/JeI1CgX8Ft"
1459298556515270657,2021-11-12 23:14:22,2120,97,"(2/2) Our deepest sympathies are with his partner, Leah, and all his loved ones. The world lost you too soon, Glen."
1459298553860296709,2021-11-12 23:14:22,7151,442,"Such a tragic loss. Warm and full of life, Glen made us laugh and lit up the room. He was a visionary, and an innovator – a true leader. Lauren and I are heartbroken and will remember the precious time we got to spend together. (1/2) https://t.co/AYKCGIUQfD"
1457720343297019909,2021-11-08 14:43:07,274585,44803,"Leo, come over here, I want to show you something… @LeoDiCaprio https://t.co/Gt2v9JZTNz https://t.co/KqGLB839NI"
1456648447486873600,2021-11-05 15:43:47,2900,294,"Congrats on this important work, @ChefJoseAndres. As you say: build longer tables, not higher walls. https://t.co/ybpC2BN87f https://t.co/QzUXrQeytA"
1456311095761637384,2021-11-04 17:23:16,28418,2310,"Not the decision we wanted, but we respect the court’s judgment, and wish full success for NASA and SpaceX on the contract. https://t.co/BeXc4A8YaW"
1455606875643330565,2021-11-02 18:44:57,5439,504,Very proud to be one of the founding funders of Prince William’s Earthshot Prize. It’s easy to see how passionate and thoughtful he is about this important work. https://t.co/S0AB9qqVa3
