id,created_at,favorite_count,retweet_count,text
1467926876400369672,2021-12-06 18:40:14,113,33,"At today’s #Eurogroup meeting we discussed the recovery in the euro area and questions around the pandemic.

Afterwards I joined colleagues for a photo marking the 20th anniversary of euro banknotes and coins. I’m proud to see the euro supported by 78% of people in the euro area. https://t.co/zTk3oKdJbe"
1467837507060572167,2021-12-06 12:45:07,68,17,"Very interesting meeting with Belgian Prime Minister @AlexanderDeCroo today.

We discussed the economic situation in the euro area, the ongoing review of the Stability and Growth Pact and the @ecb’s role in the fight against climate change."
1467779962279186434,2021-12-06 8:56:27,177,42,"For almost 20 years now, euro banknotes have been a tangible symbol of European integration and unity, particularly in times of crisis. I am happy to announce we will review the look of our banknotes as we update them for modern Europeans of all ages and backgrounds. https://t.co/jyriTFeIlj"
1467423359940050945,2021-12-05 9:19:27,394,80,"Ngozi Okonjo-Iweala, Director-General of the @wto, is as fierce and talented a competitor as she is a caring friend.

I was delighted to write a piece for the @FinancialTimes on why Ngozi is one of the most influential women of 2021 https://t.co/BS76H1ZmWl

@NOIweala https://t.co/ZibOOTsuRh"
1467085087531544582,2021-12-04 10:55:16,186,25,"Come ho detto la scorsa settimana da @fabfazio a @chetempochefa, ci sono molte cose che possiamo e dobbiamo fare per promuovere la parità di genere. Una di queste è offrire borse di studio alle studentesse di economia, cosa che alla @ecb già facciamo https://t.co/ey8Dx8OOti https://t.co/If3c40QDHc"
1466819200194916361,2021-12-03 17:18:44,81,14,"Congratulations @gitagopinath on your new role! 

Gita is one of the finest economists of our time and I have no doubt that her unique experience and skill set will make her an excellent addition to the @IMFnews’ leadership team. https://t.co/B0LtFQ8tFv"
1466810067416715266,2021-12-03 16:42:26,41,8,"Merci beaucoup, Alice, for your virtual visit today. 

People with disabilities still face many challenges at work. I was inspired to hear about Alice’s career path, which shows that disability inclusion is essential to society as a whole. https://t.co/83IVjaYF1D"
1466771935568797826,2021-12-03 14:10:55,53,13,"I am very happy to see that Europeans continue to overwhelmingly support our common currency. As most of you say, it has made it easier to travel and do business in different EU countries. See the full Eurobarometer results https://t.co/rsLrIVJK30 https://t.co/bySXaCRjAQ"
1466767426075328518,2021-12-03 13:53:00,93,32,"In my interview with @aagalloni of Reuters, I underlined that we @ecb will not hesitate to act at the right time in order to maintain price stability. https://t.co/kKYOXxzjG2"
1466764478108872709,2021-12-03 13:41:17,167,58,"Inflation is a concern for many euro area citizens at the moment, I explained to @aagalloni at #ReutersNext.

But we are confident that it will decline over the course of 2022. https://t.co/s2MtzcDsnc"
1466686551786770433,2021-12-03 8:31:38,146,65,Watch live: my conversation with @aagalloni on Europe’s economic recovery from the pandemic at #ReutersNext https://t.co/Mbnh6ivBOe
1466433309307715602,2021-12-02 15:45:20,67,41,"I'll be speaking with @aagalloni about Europe’s economic recovery from the pandemic and other topics at the #ReutersNext conference from 9:30 CET on Friday, 3 December.

Register to watch live https://t.co/dNanaiToBs https://t.co/2yIwj55j6x"
1466379496601313282,2021-12-02 12:11:30,53,11,"Congratulations to my colleague @KlaasKnot for taking up the important responsibility of Chair of the @FinStbBoard.

I'm sure that under his leadership the FSB will continue to play the important role it has in addressing global financial stability issues. https://t.co/8R0rFQzkMe"
1466112761331605507,2021-12-01 18:31:36,150,22,"During my visit to Italy, I met students from Collegio Carlo Alberto in Turin.

Grazie mille for the warm welcome and the interesting discussion! https://t.co/l74gsS02yw"
1465386950400135173,2021-11-29 18:27:29,112,33,"The task of separating truth from falsehood is more urgent than ever. In today’s shifting and uncertain world, policymakers must search for the truth and explain their analysis to the public.

It was a pleasure to speak about this at the Accademia Nazionale dei Lincei in Turin. https://t.co/okuHaY2G4I"
1465357692583690246,2021-11-29 16:31:13,70,16,"I’ll be speaking about the importance of scientific analysis for policymaking and discussing this topic with others at the Accademia Nazionale dei Lincei in Turin. 
Watch live from 18:00 CET https://t.co/pmkcqsIEAY https://t.co/BELi3jQwHm"
1465063832653647875,2021-11-28 21:03:31,2304,135,"Grazie mille @fabfazio per l’ospitalità e l’interessante chiacchierata su inflazione, ripresa economica europea e parità di genere.

#CTCF https://t.co/Qz1r4H4zHf"
1465002580031987718,2021-11-28 17:00:08,110,24,"Stasera sarò ospite di @fabfazio a @chetempochefa in onda dalle 20:00 su @RaiTre.

Dall’Italia è possibile seguire la diretta qui https://t.co/nGQt71MjpM https://t.co/mRVgvJ58U6"
1464520908199141381,2021-11-27 9:06:08,144,49,"We do not expect the current rise in inflation to last, I explained in an interview with Frankfurter Allgemeine Sonntagszeitung. Price pressures will subside next year.

Read the full conversation https://t.co/i43OMIhu5e https://t.co/n2OClpzk8F"
1463964407751397380,2021-11-25 20:14:48,184,57,"Nearly 1 in 3 women have experienced physical or sexual violence against them. That figure rises in a crisis such as the ongoing pandemic.
We have lit up our buildings to raise awareness of the fight to end this violence and show that we stand with victims and survivors. https://t.co/Xe4V93HXEA"
1463813960029908992,2021-11-25 10:16:59,556,54,I’m looking forward to speaking to @fabfazio on Italian television show @chetempochefa on @RaiTre this Sunday from 20:00 CET. https://t.co/dLFj1gdNor
1463526066832691206,2021-11-24 15:12:59,317,52,My warm congratulations to Magdalena Andersson on becoming Sweden's first female Prime Minister! Europe's group of female leaders continues to grow. All the best for your new role. https://t.co/2ulgyrF0HO
1462802929543434240,2021-11-22 15:19:30,748,141,"Congratulations to my colleague Jerome Powell on his nomination for a second term as Chair of the US @federalreserve.
 
I also congratulate Lael Brainard on her nomination as Vice Chair. https://t.co/xFid9rqpNW"
1462351064183750658,2021-11-21 9:23:57,141,42,"During the pandemic, banks were not part of the problem - they were part of the solution. So what lies ahead now? 

#TheECBPodcast looks at the opportunities and challenges facing banks, drawing on our discussions at the #ECBForum on Banking Supervision https://t.co/Jrs6alzdi5 https://t.co/lcQ8nCdwzu"
