id,created_at,favorite_count,retweet_count,text
1461788977321684997,2021-11-19 20:10:25,1155,128,"When rates normalize, the risk of a mkt/economic crisis will be way high. Powell and Brainard are pretty close on policy but Powell’s leadership was tested in the initial Covid crisis. Brainard has not been tested the same way. Powell is a much safer choice at a critical moment."
1457930409166114818,2021-11-09 04:37:51,169,15,"Debatable if Biden was elected to be FDR, but clearly FDR WAS elected to be FDR. Despite huge majorities, FDR’s New Deal  (NLRB, Social Security, TVA, etc) wasn’t passed at once, but incrementally from 1933-39.  Must entire progressive agenda w/o broad mandate pass at once now?"
1457063512501522436,2021-11-06 19:13:06,299,26,"I get the neg sentiment towards pharma, but really, it’s not all bad. Pls, before you try to kill the industry, let them finish perfecting the vax’s and treatments for covid and all the other diseases that plague mankind. https://t.co/5iB9CPwZSu"
1457024737490653188,2021-11-06 16:39:02,524,44,Progressives blinked.
1316492116374233088,2020-10-14 21:32:34,2493,374,"Stimulus bill: Dems want $2.2trio and Reps offer $1.8trio, more than 80% the ask. Dems should take the lesser amount now, to save lives and jobs, and top up after the election, when Dems control more of the govt. If Dems don’t win the WH or the senate, they have bigger problems!!"
1311330616114319360,2020-09-30 15:42:36,5688,972,"So far the stock market doesn’t seem too upset at the prospect of Biden winning, despite Trump’s more market friendly policies. Perhaps folks think their stocks and 401(k)s will do better with higher taxes and increased regulation than with nastiness and scorched earth."
1310354639657865218,2020-09-27 23:04:25,3028,407,Does Joe Biden have a higher net worth than Donald Trump? https://t.co/HUIh2TTqDV
1300891303480352770,2020-09-01 20:20:30,374,61,"Sorry, it’s been awhile. Just in case I’ve been missed (Ha!), here's the link to a podcast interview I did for Hank Paulson, my old boss and former treasury secretary: https://t.co/Oxe4KIzyJZ"
1266819114934439944,2020-05-30 19:49:48,3833,545,"Congratulations to Elon Musk, another immigrant who helps make America greater!! https://t.co/cu7ZRg3uio"
1263643533812076544,2020-05-22 01:31:10,6204,1159,Hospitals are not overwhelmed; most of us will be exposed anyway since we can’t sequester until there’s a vax; and we know which groups need protection from worst outcomes. Is the public health benefit from broad lockdowns at this point worth such extreme damage to livelihoods?
1257324154757410817,2020-05-04 15:00:13,775,94,"Tech’s contribution is so apparent in these Covid times, enabling remote work, on-line shopping, connection with family/friends, and broad access to info &amp; entertainment. Real concerns: competition, privacy, fake news... But imagine trying to cope with this crisis 20 years ago!!"
1253815819869569025,2020-04-24 22:39:20,621,58,"If I were a governor I wouldn’t ease restrictions now as Georgia is doing. But in our federal system States can take different approaches and thereby produce data and results from which we will learn more, and faster, about what works and what doesn’t. Not entirely a bad thing."
1253332694139715586,2020-04-23 14:39:34,2211,418,"In finance, most surprising to me is that despite the trillions the US is adding to our budget deficit and national debt, investors (many foreign) will lend the US a virtually limitless supply of dlrs for .6 pct for 10 years."
1252987825475276800,2020-04-22 15:49:11,1921,194,It’s only now I appreciate how happy I was before Covid-19.  I wish someone would have told me.
1249394404714057733,2020-04-12 17:50:13,1305,156,Duh......  CNN more interested in getting a “gotcha” headline than elucidating the complex and terrible tradeoffs that will have to be made going forward in balancing public health and economic issues. https://t.co/hwySTAtXsc
1248283001760493570,2020-04-09 16:13:54,686,88,Not all of the bold actions in support of jobs and the economy will go smoothly and of course public health will determine outcomes. Monday morning quarterbacks will have a field day. But in Mnuchin and Powell we have the right folks on our economic issues at this critical time.
1247936130126839814,2020-04-08 17:15:33,10274,1238,Been quarantined with my wife for four weeks now. At this point I have more risk of getting killed by her than by a crummy virus.
1245774342836928512,2020-04-02 18:05:23,2539,386,Market thought: it’s an odd time where so many are so bearish in the short term but confident that most stocks will be a lot higher in a few months. A vaccine or treatment is the focus of EVERY pharma company and researcher.  Imagine the sharp snapback on a sudden breakthrough.
1244650462999175168,2020-03-30 15:39:29,377,35,"Book rec:  No Ordinary Time, by Doris Kearns Goodwin. About the “home front” in WWII.  Early in the book a good discussion of Roosevelt’s leadership in mobilizing industry (whose hatred he had welcomed!) as the country transformed into the “arsenal of democracy.” Relevant."
1241907502662418437,2020-03-23 01:59:56,7048,1436,"Extreme measures to flatten the virus “curve” is sensible-for a time-to stretch out the strain on health infrastructure. But crushing the economy, jobs and morale is also a health issue-and beyond. Within a very few weeks let those with a lower risk to the disease return to work."
1238960921323679752,2020-03-14 22:51:17,1702,288,"Before we kill the “cruel, corporate- run health system,” let’s give it a chance to help fix the govt’s mismanaged virus testing program. And perhaps allow our pharma companies to develop a vaccine.  Then we can kick the private sector out and turn health care over to the govt!? https://t.co/wOz2X00tfZ"
1238861276379480065,2020-03-14 16:15:19,4023,354,I don’t seem to be having much trouble getting people to “social distance” from me.
