id,created_at,favorite_count,retweet_count,text
1467901048400449542,2021-12-06 16:57:36,235,57,"Die EU ist der 🌍 größte Spender von #COVID19-Impfstoffen. 

350 Mio. gespendete Dosen sollen vor allem über #COVAX an Länder mit niedrigem &amp; mittlerem Einkommen gehen.

Ein großer Teil der global eingesetzten Impfstoffe ist made in 🇪🇺. 

🇪🇺 bleibt offen und hilft! https://t.co/84UXAem6GL"
1467872684038320128,2021-12-06 15:04:54,284,94,"L'UE est le plus important donateur de vaccins contre le #COVID19.

Nous en avons partagé 350 millions, surtout via COVAX, qui les envoie maintenant aux pays vulnérables.

Beaucoup des doses utilisées dans le monde ont été exportées ou partagées par l'UE. 

D'autres viendront. https://t.co/oMbmYrz7zp"
1467870779799142400,2021-12-06 14:57:20,715,261,"The EU is the biggest donor of #COVID19 vaccines in the world.

We shared 350 million doses so far - mostly via COVAX, which is now transferring them to low and middle-income countries.

A large part of doses used worldwide were exported or shared by the EU. 

And more will come. https://t.co/yNjHHleyLa"
1467830721842667527,2021-12-06 12:18:09,274,59,"Ich gratuliere @karlnehammer zur heutigen Angelobung als Bundeskanzler der Republik Österreich.
 
🇪🇺 🇦🇹 Auf eine gute Zusammenarbeit! #StrongerTogether

#NextGenerationEU
#EUGreenDeal"
1466832740628770829,2021-12-03 18:12:32,184,50,"Nachhaltiges Wirtschaften und ein bewusster Umgang mit Ressourcen wird zur neuen Norm in Europa.

Jetzt ist es wichtig, dass wir an Tempo zulegen und dass wir die Welt mitnehmen auf diesem Weg.

Der #EUGreenDeal ist unsere neue Wachstumsstrategie."
1466815372577980416,2021-12-03 17:03:31,12390,5387,"¡Buenas noticias para España 🇪🇸!

España ha avanzado lo suficiente en la implementación de su plan nacional de #NextGenerationEU

Por lo tanto, será el primer país de la UE en recibir un pago, con valor de €10 mil millones, una vez que los demás Estados miembros lo autoricen. https://t.co/PMVDZf1YbL"
1466793509420158977,2021-12-03 15:36:39,341,147,"Our G7 leaders’ commitment echoes the 🇪🇺 #GlobalGateway approach.
 
With #GlobalGateway we’ll invest in infrastructure that will make the world greener, more connected and fairer. 

We’ll show that there is a different way to improve people’s lives, with value-driven investments. https://t.co/Q86DgfryAD"
1466725466249863172,2021-12-03 11:06:16,350,56,"Deeply saddened by the passing of Mgr Aldo Giordano.

The EU has benefited from his remarkable diplomatic skills when he took up the role of dean of the diplomatic corps to the EU.

He was a good man, dedicated to peace and dialogue. A true European.

We honour his memory."
1466722740258418693,2021-12-03 10:55:26,286,79,"🇪🇪 Delighted to meet @AlarKaris and to congratulate him on his election as President of Estonia. 

We discussed our 🇪🇺 response to #COVID19, the situation with Belarus &amp; security developments in Ukraine.

Estonia is a digital frontrunner. I’m looking forward to our cooperation! https://t.co/2T59OzQQ0B"
1466490030814281731,2021-12-02 19:30:44,953,175,"Chanukkah is about hope - a flicker of light.

My hope and wish for Chanukkah is to see Jewish life prosper in Europe.

I want a Union that cherishes its diversity and honours Jewish heritage. 

Chag Chanukkah Sameah. https://t.co/lg1MaSJsFn"
1466451090631708672,2021-12-02 16:56:00,125,40,"Our #GlobalGateway strategy will meet the needs of #EULAC partners.

Let’s build infrastructure and together set rules and standards in line with our values.

Looking forward to launching our Digital Alliance next spring, to boost innovation on both sides of the Atlantic. https://t.co/QTdlORdijC"
1466440193049776132,2021-12-02 16:12:41,535,157,"The EU stands with Latin America and the Caribbean.
 
On top of a €3 billion COVID support package, we exported over 130 million vaccine doses to the region.
 
We will join forces to address the climate crisis.
 
We will support you to tackle deforestation in the Amazon. #EULAC https://t.co/i5NjVmJ8nB"
1466390581144342533,2021-12-02 12:55:33,178,53,"Vești bune pentru România: prima tranșă din fondurile #NextGenerationEU
 
Împreună vom asigura tranziția verde și tranziția digitală, vom moderniza sistemul de sănătate și vom consolida administrația publică din 🇷🇴
 
Acum cuvântul-cheie este: implementare. Suntem alături de voi. https://t.co/l6eaAhwbnk"
1466390442661011462,2021-12-02 12:55:00,265,66,"Good news for Romania with the 1st disbursement of #NextGenerationEU funds.

Together we will secure the green and digital transition, modernise the health system and strengthen public administration in 🇷🇴
 
Now the keyword is: implementation. 

We are ready to support you. https://t.co/fogUBnsgdG"
